Time(s),Left(deg),Right(deg)
0.04,171.1,174.53
0.08,171.19,174.46
0.12,171.23,174.12
0.17,171.01,173.98
0.21,170.89,173.85
0.25,170.53,173.75
0.29,170.16,173.77
0.33,169.82,173.54
0.38,168.97,173.13
0.42,168.07,173.08
0.46,167.17,171.94
0.5,166.34,171.3
0.54,165.12,170.43
0.58,162.9,169.37
0.62,160.57,168.24
0.67,159.48,167.06
0.71,157.18,165.59
0.75,155.24,164.34
0.79,153.36,163.45
0.83,150.94,162.46
0.88,147.24,161.68
0.92,143.79,160.66
0.96,138.95,160.12
1.0,132.58,158.01
1.04,127.05,152.56
1.08,123.15,148.96
1.12,114.57,145.19
1.17,108.72,141.37
1.21,101.8,137.22
1.25,95.62,128.8
1.29,88.96,123.18
1.33,84.38,107.38
1.38,80.5,96.12
1.42,74.03,85.6
1.46,68.53,78.56
1.5,61.0,70.64
1.54,56.51,65.24
1.58,52.23,55.21
1.62,49.52,46.86
1.67,46.7,41.29
1.71,46.93,38.81
1.75,46.21,38.66
1.79,47.31,38.24
1.83,47.71,38.37
1.88,48.19,37.51
1.92,52.85,40.91
1.96,62.91,53.75
2.0,68.47,67.2
2.04,72.84,72.72
2.08,75.99,83.03
2.12,82.52,87.68
2.17,86.54,101.78
2.21,91.87,107.58
2.25,97.69,125.76
2.29,105.35,132.2
2.33,111.65,141.56
2.38,116.97,145.85
2.42,122.77,152.71
2.46,131.28,156.37
2.5,137.82,160.17
2.54,144.7,161.95
2.58,149.85,162.8
2.62,155.13,163.2
2.67,160.1,163.96
2.71,163.46,165.86
2.75,168.48,168.07
2.79,171.33,169.9
2.83,172.47,170.99
2.88,173.07,171.29
2.92,172.42,171.4
2.96,171.67,171.27
3.0,171.58,170.49
3.04,168.14,169.63
3.08,163.73,167.94
3.12,159.59,164.62
3.17,154.91,163.22
3.21,150.45,161.51
3.25,144.02,160.48
3.29,135.65,157.03
3.33,126.24,151.99
3.38,117.7,145.24
3.42,109.95,136.89
3.46,100.44,127.81
3.5,88.25,111.3
3.54,82.58,96.58
3.58,75.12,84.93
3.62,66.82,75.15
3.67,60.26,67.58
3.71,53.49,59.77
3.75,51.22,50.65
3.79,48.6,45.56
3.83,46.7,43.75
3.88,46.96,42.45
3.92,47.09,42.13
3.96,48.09,42.99
4.0,49.82,41.57
4.04,51.84,45.42
4.08,60.4,56.57
4.12,67.19,69.84
4.17,71.36,77.23
4.21,78.11,89.71
4.25,83.67,99.81
4.29,91.95,111.51
4.33,98.84,121.89
4.38,107.83,130.03
4.42,113.44,136.57
4.46,119.18,142.62
4.5,125.89,147.41
4.54,131.72,152.97
4.58,138.74,157.69
4.62,145.67,159.37
4.67,150.8,160.64
4.71,155.56,161.71
4.75,159.63,163.12
4.79,164.77,164.91
4.83,169.07,168.39
4.88,172.3,170.91
4.92,174.04,172.02
4.96,173.67,172.05
5.0,173.05,171.91
5.04,172.71,172.09
5.08,172.33,171.88
5.12,172.31,171.64
5.17,170.91,170.51
5.21,166.87,167.87
5.25,161.79,165.73
5.29,157.86,164.04
5.33,153.06,162.99
5.38,146.81,161.35
5.42,139.44,158.57
5.46,131.67,151.75
5.5,124.46,142.73
5.54,117.33,138.57
5.58,105.3,129.02
5.62,94.77,109.87
5.67,85.56,98.3
5.71,74.43,87.11
5.75,65.9,73.81
5.79,59.41,66.68
5.83,53.47,55.46
5.88,48.19,44.65
5.92,47.97,43.31
5.96,45.73,41.1
6.0,47.3,39.39
6.04,48.72,39.74
6.08,49.43,40.58
6.12,50.11,38.2
6.17,52.81,43.8
6.21,62.77,55.87
6.25,70.0,69.21
6.29,75.44,79.7
6.33,80.41,88.07
6.38,87.11,94.2
6.42,91.71,111.71
6.46,99.07,129.7
6.5,107.95,137.47
6.54,114.85,142.8
6.58,120.46,148.02
6.62,129.07,150.81
6.67,137.28,158.04
6.71,142.68,161.91
6.75,147.6,163.25
6.79,152.17,163.72
6.83,156.83,164.76
6.88,161.82,165.74
6.92,165.08,167.11
6.96,169.72,168.47
7.0,172.19,169.35
7.04,173.82,170.67
7.08,173.81,171.3
7.12,173.7,171.62
7.17,173.46,171.98
7.21,173.66,171.91
7.25,171.61,171.54
7.29,169.03,169.42
7.33,165.52,168.28
7.38,162.26,167.44
7.42,159.68,164.7
7.46,155.69,163.55
7.5,150.82,162.52
7.54,146.02,161.36
7.58,140.84,158.8
7.62,134.79,154.39
7.67,127.06,150.42
7.71,121.36,146.79
7.75,111.97,138.87
7.79,102.37,131.94
7.83,92.17,112.55
7.88,85.69,97.18
7.92,78.63,90.68
7.96,74.37,82.92
8.0,65.55,78.3
8.04,60.62,67.67
8.08,56.44,61.22
8.12,52.56,49.79
8.17,49.87,45.35
8.21,46.91,42.61
8.25,47.01,43.15
8.29,48.48,42.18
8.33,49.69,42.36
8.38,50.6,42.98
8.42,52.13,46.73
8.46,57.76,53.01
8.5,62.99,69.03
8.54,70.42,76.8
8.58,75.04,88.25
8.62,82.55,97.43
8.67,89.52,112.46
8.71,96.74,125.55
8.75,102.53,132.48
8.79,109.63,143.36
8.83,114.08,147.66
8.88,120.26,150.79
8.92,127.23,155.05
8.96,132.97,160.92
9.0,140.33,163.04
9.04,146.03,164.27
9.08,150.38,164.83
9.12,155.32,165.27
9.17,158.87,165.79
9.21,162.17,166.64
9.25,166.57,167.66
9.29,170.11,168.45
9.33,171.74,169.31
9.38,173.37,170.07
9.42,173.47,170.73
9.46,173.19,171.07
9.5,172.35,171.36
9.54,172.38,171.5
9.58,171.22,171.47
9.62,168.04,170.29
9.67,164.23,169.01
9.71,160.33,166.82
9.75,156.72,164.93
9.79,153.6,163.67
9.83,148.5,162.09
9.88,143.25,161.05
9.92,136.11,157.16
9.96,128.65,151.04
10.0,120.9,148.06
10.04,111.39,138.4
10.08,101.37,133.64
10.12,91.41,126.42
10.17,85.28,108.66
10.21,80.17,98.09
10.25,75.51,90.01
10.29,67.46,82.98
10.33,63.07,76.62
10.38,59.11,68.98
10.42,54.2,61.83
10.46,52.84,58.51
10.5,50.0,51.78
10.54,48.14,47.15
10.58,47.17,44.17
10.62,48.16,44.19
10.67,48.47,45.37
10.71,49.13,48.15
10.75,52.39,53.37
10.79,60.5,64.05
10.83,64.75,74.74
10.88,72.04,84.24
10.92,77.58,86.3
10.96,83.26,95.88
11.0,89.41,111.29
11.04,96.18,123.75
11.08,101.06,130.62
11.12,109.1,135.34
11.17,114.76,140.95
11.21,119.12,143.49
11.25,123.32,147.34
11.29,129.53,153.19
11.33,135.16,157.27
11.38,142.6,159.5
11.42,148.08,161.18
11.46,152.28,161.64
11.5,156.46,162.38
11.54,160.49,164.28
11.58,164.91,167.07
11.62,168.43,169.44
11.67,171.76,171.0
11.71,173.46,171.99
11.75,173.73,172.83
11.79,173.33,172.76
11.83,172.57,172.81
11.88,172.33,172.8
11.92,170.74,172.45
11.96,167.99,171.39
12.0,164.08,170.27
12.04,160.86,168.93
12.08,157.58,167.14
12.12,154.37,165.45
12.17,150.87,164.05
12.21,145.52,162.05
12.25,138.32,158.7
12.29,131.38,155.73
12.33,123.97,151.08
12.38,116.4,145.63
12.42,104.67,137.4
12.46,95.64,116.34
12.5,84.19,104.57
12.54,81.58,93.58
12.58,77.47,85.44
12.62,67.51,77.27
12.67,59.16,73.24
12.71,54.56,66.49
12.75,50.37,52.15
12.79,48.23,48.21
12.83,46.48,45.7
12.88,47.27,43.7
12.92,46.88,42.64
12.96,46.73,42.93
13.0,48.05,43.14
13.04,49.44,43.52
13.08,57.16,47.91
13.12,65.55,67.11
13.17,69.85,73.54
13.21,76.68,90.47
13.25,85.19,99.43
13.29,90.04,107.4
13.33,97.13,122.93
13.38,106.37,128.03
13.42,111.71,140.9
13.46,117.5,146.77
13.5,124.86,152.72
13.54,132.33,158.12
13.58,138.02,162.56
13.62,144.09,164.82
13.67,149.9,165.93
13.71,154.01,165.97
13.75,158.36,166.19
13.79,161.69,167.07
13.83,165.47,168.29
13.88,169.08,168.79
13.92,171.58,170.2
13.96,172.81,170.76
14.0,172.42,171.64
14.04,172.09,172.01
14.08,171.25,171.93
14.12,171.1,171.91
14.17,169.11,171.16
14.21,165.94,170.33
14.25,162.26,168.48
14.29,158.89,167.14
14.33,156.17,166.1
14.38,152.85,164.88
14.42,147.91,163.1
14.46,141.53,159.91
14.5,133.5,153.35
14.54,126.53,147.49
14.58,119.45,142.23
14.62,110.12,135.29
14.67,99.06,121.31
14.71,87.56,101.02
14.75,79.53,92.07
14.79,70.69,83.46
14.83,60.97,73.42
14.88,60.59,65.77
14.92,53.25,60.85
14.96,52.02,56.27
15.0,49.55,48.23
15.04,48.48,47.21
15.08,48.6,45.72
15.12,49.71,46.74
15.17,50.89,48.09
15.21,51.88,47.14
15.25,53.87,50.54
15.29,57.31,57.53
15.33,60.2,65.2
15.38,69.35,74.3
15.42,76.77,86.5
15.46,82.07,94.55
15.5,87.92,105.22
15.54,96.85,110.08
15.58,105.35,124.67
15.62,113.82,134.79
15.67,117.4,142.28
15.71,123.33,147.31
15.75,130.17,151.44
15.79,135.01,155.58
15.83,139.77,160.48
15.88,145.36,162.25
15.92,150.56,164.17
15.96,154.7,166.0
16.0,158.92,166.44
16.04,162.17,167.22
16.08,166.32,168.22
16.12,169.57,169.85
16.17,171.79,170.62
16.21,171.96,171.04
16.25,171.88,171.22
16.29,171.84,171.41
16.33,171.55,171.39
16.38,169.23,171.15
16.42,165.69,169.83
16.46,162.02,169.02
16.5,158.69,168.3
16.54,155.05,166.91
16.58,152.66,165.93
16.62,147.72,163.63
16.67,141.77,160.83
16.71,135.75,155.41
16.75,128.69,153.24
16.79,120.85,149.0
16.83,113.17,134.34
16.88,104.38,130.39
16.92,95.3,111.57
16.96,85.73,96.96
17.0,81.72,86.79
17.04,71.82,78.76
17.08,63.65,73.15
17.12,58.45,66.86
17.17,56.59,64.41
17.21,53.55,55.92
17.25,54.44,51.89
17.29,49.29,47.62
17.33,49.68,48.62
17.38,50.23,49.37
17.42,52.55,52.65
17.46,54.46,52.21
17.5,59.05,60.58
17.54,60.25,67.97
17.58,66.9,78.1
17.62,74.86,87.76
17.67,82.23,92.95
17.71,91.46,98.15
17.75,97.29,107.45
17.79,103.78,130.55
17.83,110.65,137.02
17.88,116.08,145.54
17.92,123.44,151.98
17.96,129.61,155.51
18.0,134.71,161.43
18.04,139.81,164.63
18.08,145.94,165.57
18.12,150.73,166.36
18.17,155.4,166.95
18.21,159.5,167.73
18.25,163.16,168.78
18.29,167.53,169.93
18.33,171.32,170.68
18.38,173.02,172.14
18.42,173.86,173.15
18.46,173.77,173.41
18.5,173.31,173.53
18.54,173.04,173.8
