Time(s),Shoulder,Waist
0.04,0.9326,0.9676
0.08,0.9387,0.9678
0.12,0.941,0.946
0.16,0.9494,0.951
0.19,0.9478,0.9519
0.23,0.9395,0.9393
0.27,0.9365,0.9377
0.31,0.9394,0.9407
0.35,0.9435,0.9307
0.39,0.9448,0.9291
0.43,0.9472,0.9243
0.47,0.9436,0.9174
0.5,0.9366,0.9008
0.54,0.9232,0.8781
0.58,0.8853,0.8357
0.62,0.8175,0.7691
0.66,0.736,0.7125
0.7,0.6606,0.6776
0.74,0.5592,0.6165
0.78,0.4747,0.5451
0.81,0.3747,0.4829
0.85,0.2615,0.3965
0.89,0.2371,0.3759
0.93,0.1531,0.3048
0.97,0.0923,0.2535
1.01,0.0601,0.2424
1.05,0.0186,0.2005
1.09,0.0617,0.2206
1.12,0.0,0.2266
1.16,0.0043,0.2269
1.2,0.0132,0.2077
1.24,0.0439,0.2329
1.28,0.0508,0.2362
1.32,0.1173,0.2425
1.36,0.221,0.2833
1.4,0.3239,0.3399
1.43,0.3735,0.366
1.47,0.4245,0.442
1.51,0.5537,0.544
1.55,0.6257,0.6134
1.59,0.7072,0.64
1.63,0.7701,0.7118
1.67,0.814,0.7591
1.71,0.8681,0.821
1.74,0.9183,0.8757
1.78,0.9527,0.8833
1.82,0.9517,0.8862
1.86,0.9446,0.8858
1.9,0.9335,0.8749
1.94,0.9272,0.8533
1.98,0.8842,0.7703
2.02,0.7707,0.6184
2.05,0.6656,0.5757
2.09,0.5626,0.539
2.13,0.472,0.4733
2.17,0.3797,0.4077
2.21,0.2881,0.3329
2.25,0.2075,0.3082
2.29,0.1872,0.2762
2.33,0.1576,0.2517
2.37,0.1313,0.2298
2.4,0.0963,0.2039
2.44,0.1064,0.2171
2.48,0.0978,0.2083
2.52,0.1086,0.2055
2.56,0.1193,0.2209
2.6,0.1502,0.2559
2.64,0.2116,0.2901
2.68,0.2831,0.3179
2.71,0.3326,0.3203
2.75,0.4147,0.4024
2.79,0.4589,0.4341
2.83,0.5344,0.4694
2.87,0.6145,0.5671
2.91,0.7052,0.6494
2.95,0.7645,0.6977
2.99,0.8362,0.7938
3.02,0.9101,0.8928
3.06,0.9495,0.9225
3.1,0.9695,0.9236
3.14,0.9643,0.9094
3.18,0.9601,0.885
3.22,0.9513,0.8472
3.26,0.933,0.7961
3.3,0.8813,0.7269
3.33,0.7698,0.6105
3.37,0.6621,0.5623
3.41,0.5666,0.4865
3.45,0.4727,0.3958
3.49,0.3812,0.2927
3.53,0.2632,0.2343
3.57,0.1902,0.203
3.61,0.1593,0.1584
3.64,0.1172,0.1245
3.68,0.1027,0.1358
3.72,0.0939,0.1398
3.76,0.0703,0.108
3.8,0.0249,0.103
3.84,0.0624,0.1345
3.88,0.0797,0.155
3.92,0.093,0.1636
3.95,0.1373,0.1914
3.99,0.2294,0.1885
4.03,0.329,0.2547
4.07,0.4016,0.3295
4.11,0.4769,0.391
4.15,0.5335,0.4844
4.19,0.5789,0.5216
4.23,0.6301,0.6112
4.27,0.6909,0.644
4.3,0.7497,0.7088
4.34,0.8378,0.7613
4.38,0.9076,0.8449
4.42,0.9635,0.9006
4.46,0.9996,0.9259
4.5,0.9973,0.9137
4.54,0.9833,0.8942
4.58,0.9881,0.8841
4.61,0.9679,0.8634
4.65,0.9343,0.8004
4.69,0.8359,0.6768
4.73,0.7264,0.6211
4.77,0.6297,0.5705
4.81,0.5547,0.5056
4.85,0.4593,0.3902
4.89,0.3678,0.2936
4.92,0.3045,0.2565
4.96,0.2351,0.2174
5.0,0.1499,0.1678
5.04,0.1216,0.1627
5.08,0.1103,0.1478
5.12,0.0701,0.0998
5.16,0.0422,0.0905
5.2,0.0274,0.0963
5.23,0.0292,0.0954
5.27,0.038,0.0956
5.31,0.0536,0.1069
5.35,0.1041,0.1298
5.39,0.143,0.1499
5.43,0.2222,0.191
5.47,0.2986,0.2149
5.51,0.3437,0.2587
5.54,0.406,0.3194
5.58,0.4254,0.3135
5.62,0.4872,0.3832
5.66,0.5492,0.474
5.7,0.5774,0.5215
5.74,0.6417,0.5969
5.78,0.745,0.6579
5.82,0.8013,0.7252
5.85,0.8818,0.7664
5.89,0.9421,0.8067
5.93,0.9662,0.8356
5.97,0.977,0.8429
6.01,0.9788,0.8351
6.05,0.9636,0.8283
6.09,0.9552,0.82
6.13,0.9381,0.7777
6.16,0.8568,0.7073
6.2,0.7681,0.6296
6.24,0.6508,0.5752
6.28,0.5808,0.5059
6.32,0.5095,0.4455
6.36,0.4371,0.3485
6.4,0.3706,0.2539
6.44,0.3134,0.2125
6.48,0.263,0.165
6.51,0.1939,0.1262
6.55,0.1576,0.0789
6.59,0.1404,0.0564
6.63,0.1245,0.0665
6.67,0.1282,0.0468
6.71,0.1204,0.0376
6.75,0.1143,0.0423
6.79,0.1413,0.0556
6.82,0.1839,0.0678
6.86,0.2157,0.092
6.9,0.2558,0.1229
6.94,0.3347,0.1618
6.98,0.3606,0.1824
7.02,0.4238,0.2602
7.06,0.4675,0.3199
7.1,0.4994,0.3515
7.13,0.5922,0.4629
7.17,0.6547,0.5298
7.21,0.706,0.6055
7.25,0.7816,0.6514
7.29,0.8555,0.7083
7.33,0.9194,0.7631
7.37,0.9532,0.7984
7.41,0.9886,0.836
7.44,0.9912,0.8413
7.48,0.9898,0.834
7.52,0.9739,0.8176
7.56,0.9587,0.8069
7.6,0.9237,0.7676
7.64,0.8264,0.6555
7.68,0.7193,0.583
7.72,0.6088,0.5251
7.75,0.5306,0.4309
7.79,0.4068,0.2698
7.83,0.3139,0.2152
7.87,0.2499,0.1834
7.91,0.2064,0.1361
7.95,0.1452,0.1106
7.99,0.1023,0.0629
8.03,0.0832,0.0343
8.06,0.0616,0.0016
8.1,0.0651,0.0
8.14,0.0961,0.0196
8.18,0.0957,0.0064
8.22,0.1005,0.0073
8.26,0.1436,0.0137
8.3,0.2285,0.0527
8.34,0.2997,0.1044
8.37,0.387,0.1785
8.41,0.4258,0.182
8.45,0.4817,0.258
8.49,0.513,0.3579
8.53,0.5647,0.4275
8.57,0.6224,0.5088
8.61,0.6827,0.5844
8.65,0.7376,0.6481
8.69,0.8126,0.696
8.72,0.8932,0.7826
8.76,0.947,0.847
8.8,0.9808,0.9046
8.84,0.9781,0.8954
8.88,0.969,0.8891
8.92,0.9606,0.8723
8.96,0.948,0.8539
9.0,0.9303,0.8206
9.03,0.8522,0.7359
9.07,0.7444,0.6538
9.11,0.6491,0.5926
9.15,0.5911,0.5225
9.19,0.5138,0.4292
9.23,0.421,0.3268
9.27,0.3637,0.2815
9.31,0.3078,0.2503
9.34,0.2571,0.2244
9.38,0.2049,0.1698
9.42,0.1769,0.1305
9.46,0.167,0.1423
9.5,0.1576,0.1083
9.54,0.1452,0.118
9.58,0.1351,0.108
9.62,0.1364,0.108
9.65,0.1454,0.1048
9.69,0.225,0.1147
9.73,0.2507,0.1233
9.77,0.2981,0.1545
9.81,0.3697,0.1836
9.85,0.4146,0.2338
9.89,0.4387,0.2496
9.93,0.4933,0.2997
9.96,0.5517,0.3993
10.0,0.6135,0.4871
10.04,0.6729,0.5416
10.08,0.7104,0.6064
10.12,0.7616,0.6347
10.16,0.8404,0.6966
10.2,0.9222,0.7834
10.24,0.9657,0.8465
10.27,0.9881,0.8625
10.31,0.9907,0.8712
10.35,0.9802,0.8593
10.39,0.9711,0.8474
10.43,0.9641,0.8465
10.47,0.9585,0.8169
10.51,0.9009,0.7472
10.55,0.8022,0.6448
10.59,0.6918,0.5716
10.62,0.626,0.5398
10.66,0.5505,0.4431
10.7,0.4839,0.3592
10.74,0.3959,0.2844
10.78,0.3312,0.217
10.82,0.2467,0.165
10.86,0.1726,0.1441
10.9,0.1349,0.1075
10.93,0.0893,0.0864
10.97,0.0821,0.0462
11.01,0.1005,0.0326
11.05,0.1119,0.0339
11.09,0.1258,0.0478
11.13,0.1391,0.0454
11.17,0.1938,0.0523
11.21,0.2385,0.0816
11.24,0.2854,0.1082
11.28,0.3632,0.1466
11.32,0.3828,0.1368
11.36,0.4305,0.2029
11.4,0.477,0.2891
11.44,0.5397,0.3853
11.48,0.6006,0.4744
11.52,0.6682,0.5509
11.55,0.7334,0.6262
11.59,0.7859,0.6761
11.63,0.8338,0.7345
11.67,0.8947,0.7641
11.71,0.9368,0.8603
11.75,0.9698,0.9312
11.79,0.9969,0.9369
11.83,0.999,0.9209
11.86,1.0,0.9137
11.9,0.9948,0.9048
11.94,0.9828,0.8938
11.98,0.981,0.8745
12.02,0.9359,0.8065
12.06,0.8522,0.735
12.1,0.7588,0.6585
12.14,0.6835,0.6092
12.17,0.6029,0.5442
12.21,0.5404,0.438
12.25,0.4498,0.3082
12.29,0.3584,0.2137
12.33,0.281,0.168
12.37,0.2168,0.1334
12.41,0.1667,0.106
12.45,0.1363,0.0776
12.48,0.137,0.0726
12.52,0.1094,0.0567
12.56,0.1358,0.0791
12.6,0.1671,0.0975
12.64,0.1841,0.1053
12.68,0.2443,0.1324
12.72,0.342,0.148
12.76,0.3689,0.1521
12.8,0.4057,0.162
12.83,0.44,0.2442
12.87,0.4805,0.2843
12.91,0.5382,0.3689
12.95,0.6062,0.4701
12.99,0.6419,0.5297
13.03,0.6914,0.5904
13.07,0.7333,0.6445
13.11,0.8023,0.6847
13.14,0.8666,0.748
13.18,0.9063,0.8058
13.22,0.936,0.8147
13.26,0.9527,0.8362
13.3,0.9429,0.8292
13.34,0.9318,0.8223
13.38,0.9258,0.8158
13.42,0.9144,0.7901
13.45,0.8773,0.7475
13.49,0.8263,0.6711
13.53,0.7482,0.6144
13.57,0.6687,0.5445
13.61,0.5684,0.443
13.65,0.5057,0.3612
13.69,0.4009,0.2497
13.73,0.3427,0.1936
13.76,0.2534,0.1703
13.8,0.1993,0.1426
13.84,0.1835,0.1091
13.88,0.1214,0.0915
13.92,0.1255,0.0856
13.96,0.1174,0.0973
14.0,0.1296,0.0999
14.04,0.1207,0.099
14.07,0.1334,0.1229
14.11,0.1487,0.1283
14.15,0.246,0.1567
14.19,0.2958,0.1554
14.23,0.3778,0.165
14.27,0.4175,0.1689
14.31,0.4718,0.207
14.35,0.5134,0.2787
14.38,0.5376,0.3134
14.42,0.6087,0.3973
14.46,0.664,0.4636
14.5,0.7183,0.5407
14.54,0.773,0.6218
14.58,0.82,0.682
14.62,0.8731,0.7306
14.66,0.9177,0.7933
14.69,0.9535,0.8297
14.73,0.956,0.8712
14.77,0.9461,0.8625
14.81,0.9369,0.846
14.85,0.9281,0.8313
14.89,0.9205,0.8211
14.93,0.8793,0.7779
14.97,0.806,0.7129
15.01,0.7145,0.633
15.04,0.6337,0.5873
15.08,0.5638,0.5009
15.12,0.4887,0.3538
15.16,0.3996,0.2586
15.2,0.3423,0.2253
15.24,0.2695,0.199
15.28,0.2211,0.1581
15.32,0.1853,0.1246
15.35,0.1317,0.0779
15.39,0.1398,0.0827
15.43,0.0939,0.039
15.47,0.091,0.0535
15.51,0.1084,0.0558
15.55,0.1062,0.0668
15.59,0.1346,0.0749
15.63,0.1564,0.0894
15.66,0.246,0.1009
15.7,0.3103,0.1165
15.74,0.3877,0.1674
15.78,0.4415,0.1844
15.82,0.4702,0.1865
15.86,0.4947,0.2203
15.9,0.5269,0.2938
15.94,0.584,0.3888
15.97,0.6348,0.4745
16.01,0.6746,0.5235
16.05,0.7247,0.5964
16.09,0.7757,0.6471
16.13,0.8416,0.7053
16.17,0.907,0.7887
16.21,0.9295,0.8315
16.25,0.9391,0.88
16.28,0.9505,0.8903
16.32,0.9568,0.8815
16.36,0.9586,0.8664
16.4,0.9497,0.8524
16.44,0.9434,0.8373
16.48,0.9075,0.776
16.52,0.8301,0.703
16.56,0.7422,0.6266
16.59,0.653,0.5671
16.63,0.5581,0.4691
16.67,0.45,0.3143
16.71,0.3216,0.1912
16.75,0.2407,0.1568
16.79,0.2116,0.1189
16.83,0.1411,0.0603
16.87,0.1029,0.0403
16.91,0.1305,0.0598
16.94,0.144,0.0363
16.98,0.1036,0.0022
17.02,0.1183,0.0175
17.06,0.1334,0.0264
17.1,0.1485,0.0385
17.14,0.2273,0.0477
17.18,0.3037,0.0824
17.22,0.3744,0.103
17.25,0.3956,0.1134
17.29,0.4314,0.1178
17.33,0.4527,0.1307
17.37,0.4853,0.1493
17.41,0.544,0.2447
17.45,0.5962,0.3389
17.49,0.6679,0.4016
17.53,0.6983,0.466
17.56,0.7377,0.5505
17.6,0.7885,0.6133
17.64,0.8351,0.6966
17.68,0.874,0.7486
17.72,0.8882,0.7871
17.76,0.91,0.8189
17.8,0.925,0.8119
17.84,0.9283,0.7953
17.87,0.9237,0.7805
17.91,0.9079,0.7671
17.95,0.8544,0.7252
17.99,0.7865,0.6182
18.03,0.7281,0.5452
18.07,0.6642,0.4858
18.11,0.5767,0.4016
18.15,0.4732,0.2874
18.18,0.3756,0.2089
18.22,0.2805,0.1464
18.26,0.2333,0.0922
18.3,0.1999,0.1004
18.34,0.1726,0.0815
18.38,0.1609,0.0542
18.42,0.1184,0.0603
18.46,0.1125,0.0722
18.49,0.1229,0.0722
18.53,0.127,0.0758
18.57,0.1432,0.079
18.61,0.1765,0.0652
18.65,0.2603,0.0796
18.69,0.3421,0.0935
18.73,0.4114,0.1172
18.77,0.4469,0.1254
18.8,0.4883,0.1439
18.84,0.5218,0.2039
18.88,0.5685,0.2886
18.92,0.6319,0.3972
18.96,0.6847,0.4784
19.0,0.7405,0.5811
